noun_w_buah_affixed1	noun_w_buah_affixed2	cossim
perusahaan	sebutan	0.17
perusahaan	petunjuk	0.18
perusahaan	ketinggian	0.14
perusahaan	kebaikan	0.26
perusahaan	hukuman	0.17
perusahaan	ujian	0.23
perusahaan	perguruan	0.43
perusahaan	perjuangan	0.26
perusahaan	kejahatan	0.28
perusahaan	masakan	0.29
perusahaan	ketentuan	0.28
perusahaan	kewajiban	0.38
perusahaan	pengelolaan	0.44
perusahaan	kemajuan	0.37
perusahaan	penawaran	0.37
perusahaan	rekaman	0.41
perusahaan	persoalan	0.26
perusahaan	jurusan	0.36
perusahaan	satuan	0.3
perusahaan	peringatan	0.21
perusahaan	kenyataan	0.26
perusahaan	kecelakaan	0.34
perusahaan	ikatan	0.26
perusahaan	kekerasan	0.19
perusahaan	keyakinan	0.29
perusahaan	kesadaran	0.26
perusahaan	tantangan	0.31
perusahaan	panggilan	0.23
perusahaan	gambaran	0.3
perusahaan	pemandangan	0.19
perusahaan	potongan	0.27
perusahaan	ancaman	0.27
perusahaan	rangkaian	0.29
perusahaan	kunjungan	0.26
perusahaan	keberhasilan	0.37
perusahaan	kebebasan	0.28
perusahaan	keindahan	0.2
perusahaan	perbatasan	0.23
perusahaan	pertimbangan	0.33
perusahaan	kebetulan	0.29
perusahaan	persiapan	0.28
perusahaan	harian	0.3
perusahaan	pembicaraan	0.24
perusahaan	ucapan	0.17
perusahaan	pelabuhan	0.34
perusahaan	pertunjukan	0.3
perusahaan	pengadilan	0.34
perusahaan	lukisan	0.19
perusahaan	tuntutan	0.35
perusahaan	pelanggaran	0.31
perusahaan	gagasan	0.29
perusahaan	pesanan	0.31
perusahaan	penemuan	0.31
perusahaan	jaminan	0.37
perusahaan	perkebunan	0.49
perusahaan	lingkaran	0.26
perusahaan	daratan	0.27
perusahaan	kekalahan	0.22
perusahaan	pergerakan	0.3
perusahaan	percobaan	0.29
perusahaan	peradaban	0.25
perusahaan	kegagalan	0.32
perusahaan	perayaan	0.27
perusahaan	perkawinan	0.24
perusahaan	perekonomian	0.38
perusahaan	pengakuan	0.24
perusahaan	kajian	0.25
perusahaan	kesuksesan	0.38
perusahaan	dataran	0.2
perusahaan	persamaan	0.19
perusahaan	tinjauan	0.16
perusahaan	kesepakatan	0.31
perusahaan	perumahan	0.36
perusahaan	penutup	0.22
perusahaan	pemberontakan	0.23
perusahaan	pengajaran	0.26
perusahaan	kebahagiaan	0.2
perusahaan	susunan	0.26
perusahaan	kebakaran	0.3
perusahaan	undangan	0.26
perusahaan	kesimpulan	0.22
perusahaan	panduan	0.25
perusahaan	tahapan	0.33
perusahaan	larutan	0.23
perusahaan	angkutan	0.38
perusahaan	pengukuran	0.34
perusahaan	dugaan	0.19
perusahaan	keadilan	0.22
perusahaan	pameran	0.34
perusahaan	permohonan	0.3
perusahaan	keseimbangan	0.21
perusahaan	perlawanan	0.21
perusahaan	pengumuman	0.32
perusahaan	kemasan	0.34
perusahaan	persahabatan	0.21
perusahaan	tawaran	0.37
perusahaan	pencapaian	0.35
perusahaan	acuan	0.27
perusahaan	kehormatan	0.24
perusahaan	muatan	0.24
perusahaan	percakapan	0.23
perusahaan	ungkapan	0.15
perusahaan	kenangan	0.16
perusahaan	mainan	0.33
perusahaan	rancangan	0.32
perusahaan	karangan	0.18
perusahaan	dorongan	0.25
perusahaan	batasan	0.28
perusahaan	bayangan	0.2
perusahaan	tarian	0.19
perusahaan	pertarungan	0.23
perusahaan	usulan	0.26
perusahaan	ledakan	0.25
perusahaan	pengembang	0.46
perusahaan	pembuka	0.23
perusahaan	penerbit	0.47
perusahaan	ingatan	0.17
perusahaan	hiasan	0.18
perusahaan	permulaan	0.23
perusahaan	balasan	0.19
perusahaan	pemecahan	0.27
perusahaan	tuduhan	0.21
perusahaan	penerbitan	0.46
perusahaan	perdebatan	0.18
perusahaan	tembakan	0.15
perusahaan	keberanian	0.23
perusahaan	ciuman	0.12
perusahaan	anggapan	0.24
perusahaan	perhiasan	0.31
perusahaan	pukulan	0.18
perusahaan	kutipan	0.2
perusahaan	kepastian	0.28
perusahaan	kebanggaan	0.31
perusahaan	permukiman	0.31
perusahaan	hunian	0.3
perusahaan	kejutan	0.2
perusahaan	tayangan	0.24
perusahaan	pengantar	0.29
perusahaan	kuburan	0.21
perusahaan	pengorbanan	0.26
perusahaan	pangkalan	0.3
perusahaan	lembaran	0.29
perusahaan	tendangan	0.12
perusahaan	perpaduan	0.2
perusahaan	kesedihan	0.14
perusahaan	jalinan	0.24
perusahaan	kejujuran	0.27
